"Label Key";"Default Language";"_4";"_32";"_567";"_587"
Q35_text;I understand why my salary is what it is and how to move up/get a promotion in the organization.;Je comprends pourquoi mon salaire est ce qu'il est et comment progresser / obtenir une promotion dans l'organisation.;Entiendo por qué mi salario es el que es y cómo ascender / conseguir un ascenso en la organización.;Ninaelewa ni kwanini mshahara wangu ni nini na jinsi ya kupanda juu / kupata kukuza katika shirika.;Ndumva impamvu umushahara wanjye uri uko uri kandi n’ukuntu natera imbera mw’ishyirahamwe.
Q35_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q35A1_text;It is really unclear and inconsistent. No one really knows how to move ahead in the organization;Ce n'est vraiment pas clair et incohérent. Personne ne sait vraiment comment avancer dans l'organisation.;Es realmente poco claro e inconsistente. Nadie sabe realmente cómo avanzar en la organización.;Haijulikani kabisa na haiendani. Hakuna mtu anayejua jinsi ya kuendelea mbele katika tengenezo.;Ntabwo rwose bisobanutse kandi bidahuye. Ntamuntu numwe uzi gutera imbere mw’ishyirahmwe.
Q35A2_text;"Certain people seem to move up, but others are not given clear guidance on how to improve.";"Certaines personnes semblent progresser, mais d'autres ne reçoivent pas d'indications claires sur la manière de s'améliorer.";"Algunas personas parecen avanzar, pero otras no reciben una guía clara sobre cómo mejorar.";"Watu wengine wanaonekana kusonga mbele, lakini wengine hawapewi mwongozo wazi juu ya jinsi ya kuboresha.";"Abantu bamwe basa nka bazamuka, ariko abandi ntibahabwa ubuyobozi busobanutse n’uburyo bwo kwiteza imbere."
Q35A3_text;There are some stated measurements for how to get a promotion.;Il existe certaines mesures indiquées pour savoir comment obtenir une promotion.;Hay algunas medidas establecidas sobre cómo obtener una promoción.;Kuna vipimo kadhaa vya jinsi ya kupata kukuza.;Hariho ibipimo bimwe byerekana uburyo bwo kubona promotion.
Q35A4_text;It's really transparent how people get promotions and how wages are determined.;C'est vraiment transparent comment les gens obtiennent des promotions et comment les salaires sont déterminés.;Es realmente transparente cómo las personas obtienen ascensos y cómo se determinan los salarios.;Ni wazi kabisa jinsi watu wanavyopandishwa vyeo na jinsi mshahara unavyoamuliwa.;Nukuri biragaragara muburyo abantu babona promotion nuburyo umushahara ugenwa.
Q36_text;What structures are in place in your organization? [check all that apply];Quelles structures sont en place dans votre organisation? [Cochez toutes les cases];¿Qué estructuras existen en su organización? [marque todo lo que corresponda];Ni miundo gani iliyopo katika shirika lako? [angalia yote yanayotumika];Ni izihe nzego ziri mw’ishyirahamwe ryanyu? [reba ibisabwa byose]
Q36_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q36A1_text;Consistent onboarding and orientation process for all employees..;Processus d'intégration et d'orientation cohérent pour tous les employés.;Proceso consistente de incorporación y orientación para todos los empleados.;Mchakato thabiti wa kupanda na kuelekeza kwa wafanyikazi wote.;Gahunda ihoraho hamwe nicyerekezo kubakozi bose.
Q36A2_text;Structured and thorough exit process for all employees.;"Processus clair pour informer ou modifier les politiques; procédures ou plans.";Proceso de salida estructurado y completo para todos los empleados.;Mchakato uliowekwa na kamili wa wafanyikazi wote.;Inzira yo gusohoka kandi yuzuye kubakozi bose.
Q36A3_text;Reliable access to and support from Human Resources or managers if needed.;Processus de sortie structuré et approfondi pour tous les employés.;Acceso confiable y soporte de Recursos Humanos o gerentes si es necesario.;Ufikiaji wa kuaminika na msaada kutoka kwa Rasilimali Watu au mameneja ikiwa inahitajika.;Kubona kwizerwa no gushyigikirwa nabakozi cyangwa abayobozi niba bikenewe.
Q36A4_text;Regular opportunities and clear paths to report problems.;Développement professionnel accessible et soutien pour tous les employés.;Oportunidades periódicas y caminos claros para informar problemas.;Fursa za kawaida na njia wazi za kuripoti shida.;Amahirwe asanzwe n'inzira zisobanutse zo gutanga ibibazo.
Q36A5_text;"Clear process to inform or change policies, procedures, or plans.";Un accès fiable et un soutien des ressources humaines ou des gestionnaires si nécessaire.;"Proceso claro para informar o cambiar políticas, procedimientos o planes.";"Mchakato wazi wa kufahamisha au kubadilisha sera, taratibu, au mipango.";"Sobanura inzira yo kumenyesha cyangwa guhindura amategekoi, inzira, cyangwa gahunda."
Q36A6_text;Accessible professional development and support for all employees.;"Opportunités de collaborer avec d'autres employés sur des questions qui vous intéressent (comités; groupes d'affinité; groupes de discussion)";Desarrollo profesional accesible y apoyo para todos los empleados.;Ukuzaji wa kitaalam unaopatikana na msaada kwa wafanyikazi wote.;Iterambere ryumwuga ninkunga kubakozi bose.
Q36A7_text;"Opportunities to collaborate with other employees on issues that matter to you (committees, affinity groups, focus groups)";Opportunités régulières et chemins clairs pour signaler les problèmes.;"Oportunidades para colaborar con otros empleados en temas que les interesan (comités, grupos de afinidad, grupos focales)";"Fursa za kushirikiana na wafanyikazi wengine juu ya maswala ambayo ni muhimu kwako (kamati, vikundi vya ushirika, vikundi vya kuzingatia)";"Amahirwe yo gufatanya nabandi bakozi kubibazo bikureba (komite, amatsinda yimiryango, amatsinda yibanze)"
Q36A8_text;none of the above;Aucune de ces réponses;Ninguna de las anteriores;Hakuna jibu hata moja hapo juu.;Nta na kimwe hejuru
Q37_text;Rank the following based on what you think the organization (and executives) care most about:;Classez les éléments suivants en fonction de ce qui compte le plus pour l'organisation (et les dirigeants):;Clasifique lo siguiente según lo que crea que le importa más a la organización (y a los ejecutivos):;Weka zifuatazo kulingana na kile unafikiri shirika (na watendaji) wanajali zaidi:;Kurikirana ibi bikurikira ukurikije ibyo utekereza ko ishyirahamwe (n'abayobozi) baha agaciro cyane:
Q37_free_text_label;Are there any you would remove from this list or think should be added?;;¿Hay alguno que eliminaría de esta lista o cree que debería agregarse?;Je! Kuna yoyote ambayo ungeondoa kwenye orodha hii au unafikiria inapaswa kuongezwa?;Hari ibyo wakuramo kururu rutonde cyangwa utekereza ko byakagombye kongerwaho?
Q37A1_text;Profit;Profit;Lucro;Faida;Inyungu
Q37A2_text;Mission & Values;Mission et valeurs;Misión y valores;Utume na Maadili;Imigambi & Indangagaciro
Q37A3_text;Productivity & Efficiency;Productivité et efficacité;Productividad y eficiencia;Uzalishaji na Ufanisi;Umusaruro no kunoza umurimo.
Q37A4_text;Innovation;Innovation;Innovación;Ubunifu;Guhanga udushya
Q37A5_text;"Diversity, Equity, & Inclusion";"Diversité, équité et inclusion";"Diversidad, equidad e inclusión";"Utofauti, Usawa, na Ujumuishaji";Uburinganire no gushyira hamwe.
Q37A6_text;Employee Engagement;Contrat d'employé;Participación de los empleados;Ushiriki wa Wafanyakazi;Ubushake bw’abakozi
Q37A7_text;Employee Wellbeing;Bien-être des employés;Bienestar de los empleados;Ustawi wa Wafanyakazi;Imibereho myiza y'abakozi
Q37A8_text;Control & Order;Contrôle / Commande;Control / Orden;Udhibiti / Agizo;Igenzura / Iteka
Q37A9_text;Public Perception;Perception publique;Percepción pública;Mtazamo wa Umma;Imyumvire rusange
Q37A10_text;"Reputation (\""saving face\"")";"Réputation (""sauver la face"")";"Reputación (""guardar las apariencias"")";"Sifa (""kuokoa uso"")";Isura ry’ishyirahamwe
Q38_text;How happy are you within the organization?;Êtes-vous satisfait de l'organisation?;¿Qué tan feliz está con la organización?;Una furaha gani na shirika?;Nigute wishimiye ishyirahamwe?
Q38_low_end_label;extremely unhappy;extrêmement mécontent;Extremadamente infeliz;sina furaha sana;ntago nishimye nagato
Q38_high_end_label;extremely happy;extrêmement content;Extremadamente feliz;mwenye furaha sana;ndaryishimiye cyane
Q38_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q39_text;How happy are you with your role/position in the company?;Dans quelle mesure êtes-vous satisfait de votre rôle / position dans l'entreprise?;¿Qué tan satisfecha/o está con su función / puesto en la empresa?;Una furaha gani na jukumu / nafasi yako katika kampuni?;Nigute wishimiye uruhare / umwanya wawe muri sosiyete?
Q39_low_end_label;extremely unhappy;extrêmement mécontent;Extremadamente infeliz;sina furaha sana;ntago nryishimiye nagato
Q39_high_end_label;extremely happy;extrêmement content;Extremadamente feliz;mwenye furaha sana;ndishimye cyane
Q39_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q40_text;How well does this organization treat its employees?;Dans quelle mesure cette organisation traite-t-elle ses employés?;¿Qué tan bien trata esta organización a sus empleados?;Je! Shirika hili linawatendea vizuri wafanyikazi wake?;Ni mu buhe buryo ishyirahamwe rifata abakozi baryo?
Q40_low_end_label;extremely poorly;mal;Extremadamente Mal;vibaya;nabi
Q40_high_end_label;extremely well;extrêmement bien;Extremadamente bien;vizuri sana;neza cyane
Q40_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q41_text;How likely are you to be working at this organization 5 years from now?;Quelle est la probabilité que vous travailliez dans cette organisation dans 5 ans?;¿Qué probabilidades hay de usted trabaje en esta organización en 5 años?;Una uwezekano gani wa kufanya kazi katika shirika hili miaka 5 kutoka sasa?;Ese uteganya kuba ugikora muri iri shyirahamwe mu mywaka 5 iza?
Q41_low_end_label;extremely unlikely;extrêmement improbable;Extremadamente improbable;haiwezekani kabisa;oya ntibishoboka
Q41_high_end_label;extremely likely;extrêmement probable;Extremadamente probable;uwezekano mkubwa;birashoboka cyane
Q41_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q42_text;Rank the following in importance when thinking about whether you would continue to work for this organization:;Classez les éléments suivants par ordre d'importance lorsque vous vous demandez si vous continueriez à travailler pour cette organisation:;Califique lo siguiente en importancia al pensar si continuaría trabajando para esta organización:;Weka zifuatazo kwa umuhimu wakati unafikiria ikiwa utaendelea kufanya kazi kwa shirika hili:;Shyira ibi bikurikira mu bice by’ingenzi mugihe utekereza niba uzakomeza gukorera rino shyirahamwe:
Q42_free_text_label;Are there any you would remove from this list or think should be added?;Y en a-t-il que vous voudriez supprimer de cette liste ou qui devraient être ajoutés ?;;Je! Kuna yoyote ambayo ungeondoa kwenye orodha hii au unafikiria inapaswa kuongezwa?;Hari ibyo wakuramo kururu rutonde cyangwa utekereza ko byakagombye kongerwaho?
Q42A1_text;increase in salaries;augmentation des salaires;aumento de salarios;ongezeko la mishahara;kongera imishahara
Q42A2_text;"increase in benefits (health insurance, paid leave, etc)";"augmentation des prestations (assurance maladie, congés payés, etc.)";"aumento de los beneficios (seguro médico, vacaciones pagadas, etc.)";"b. ongezeko la faida (bima ya afya, likizo ya kulipwa, nk)";"kongera inyungu (ubwishingizi bw'ubuzima, ikiruhuko cyishyuwe, n'ibindi)"
Q42A3_text;opportunities to provide feedback;opportunités de fournir des commentaires;oportunidades para brindar retroalimentación;c. fursa za kutoa maoni;amahirwe yo gutanga ibitekerezo
Q42A4_text;changes in management/leadership;changements de direction / leadership;cambios en la administración / liderazgo;d. mabadiliko katika usimamizi / uongozi;impinduka mu miyoborere ndetse n’ubuyobozi
Q42A5_text;changes in workplace culture.;changements dans la culture du lieu de travail.;cambios en la cultura del lugar de trabajo.;e. mabadiliko katika utamaduni mahali pa kazi.;impinduka mu muco mukazi.
Q42A6_text;opportunities for professional development/promotion.;possibilités de développement professionnel / promotion.;oportunidades de desarrollo / promoción profesional.;f. fursa za kukuza / kukuza taaluma.;amahirwe yo guteza imbere umwuga / kuzamurwa mu ntera.
Q42A7_text;increase inclusion and adaptability for cultural differences and customs.;accroître l'inclusion et l'adaptabilité aux différences culturelles et aux coutumes.;aumentar la inclusión y la adaptabilidad a las diferencias culturales y costumbres.;g. kuongeza ujumuishaji na kubadilika kwa tofauti za kitamaduni na mila..;kongera kwinjiza no guhuza n'imico itandukanye n'imigenzo.
Q43_text;Who provides feedback in the organization? [check all that apply];Qui fournit des commentaires dans l'organisation? [Cochez toutes les cases];¿Quién proporciona retroalimentación en la organización? [marque todo lo que corresponda];Nani hutoa maoni katika shirika? [angalia yote yanayotumika];Ninde utanga ibitekerezo mw’ishyirahamwe ryawe? [reba ibisabwa byose]
Q43A1_text;My direct manager has given me feedback through an annual review of some kind.;Mon supérieur direct m'a fait part de ses commentaires au moyen d'un examen annuel quelconque.;Mi gerente directo me ha dado su opinión a través de una revisión anual de algún tipo.;Meneja wangu wa moja kwa moja amenipa maoni kupitia ukaguzi wa kila mwaka wa aina fulani.;Umuyobozi wanjye utaziguye yampaye ibitekerezo binyuze mubisubiramo buri mwaka muburyo runaka.
Q43A2_text;My direct manager has given me informal feedback and support to help me grow.;"J'ai fourni des commentaires à tous les membres de mon équipe; à mes pairs et à mes collègues.";Mi gerente directo me ha brindado retroalimentación informal y apoyo para ayudar mi desarrollo.;Meneja wangu wa moja kwa moja amenipa maoni yasiyo rasmi na msaada kunisaidia kukua.;Umuyobozi wanjye utaziguye yampaye ibitekerezo bidasanzwe ninkunga yamfasha gukura.
Q43A3_text;I have provided formal feedback about my direct manager;Mon responsable direct m'a donné des commentaires et un soutien informels pour m'aider à grandir.;He proporcionado comentarios formales sobre mi gerente directo.;Nimetoa maoni rasmi kuhusu meneja wangu wa moja kwa moja;Natanze ibitekerezo byemewe kumuyobozi wanjye utaziguye
Q43A4_text;I have provided informal feedback to my direct manager to help them grow.;J'ai fourni des commentaires à d'autres personnes en dehors de mon équipe ou de mon service immédiat.;Le he proporcionado comentarios informales a mi gerente directo para ayudarle a crecer.;Nimetoa maoni yasiyo rasmi kwa meneja wangu wa moja kwa moja kuwasaidia kukua.;Natanze ibitekerezo bidasanzwe kumuyobozi wanjye utaziguye kugirango mbafashe gukura.
Q43A5_text;"I have provided feedback to any of my team members, peers, and colleagues.";J'ai fourni des commentaires formels sur mon responsable direct;"He proporcionado comentarios a cualquiera de los miembros de mi equipo, compañeros y colegas.";"Nimetoa maoni kwa washiriki wowote wa timu yangu, wenzao, na wenzangu.";"Natanze ibitekerezo kuri buri wese mubagize itsinda ryanjye, urungano, na bagenzi banjye."
Q43A6_text;I have provided feedback to others outside of my immediate team or department.;J'ai fourni des commentaires à la haute direction au sein de l'organisation.;He proporcionado comentarios a otras personas fuera de mi equipo o departamento inmediato.;Nimetoa maoni kwa wengine nje ya timu au idara yangu ya karibu.;Natanze ibitekerezo kubandi hanze yikipe yanjye cyangwa ishami ryanjye.
Q43A7_text;I have provided feedback to senior leadership within the organization.;J'ai fourni des commentaires informels à mon responsable direct pour les aider à grandir.;He proporcionado comentarios a los altos directivos de la organización.;Nimetoa maoni kwa uongozi wa juu ndani ya shirika.;Natanze ibitekerezo kubuyobozi bukuru mw’ishyirahamwe.
Q43A8_text;none of the above;Aucune de ces réponses;Ninguna de las anteriores;hakuna hata moja hapo juu;nta na kimwe muri ibyo byavuzwe haruguru
Q44_text;What have you personally been asked to provide feedback about? [check all that apply];Sur quoi vous a-t-on personnellement demandé de fournir des commentaires? [Cochez toutes les cases];¿Sobre qué se le ha pedido personalmente que proporcione comentario? [marque todo lo que corresponda];Je! Wewe binafsi umeulizwa kutoa maoni kuhusu nini? [angalia yote yanayotumika];Niki wowe ubwawe wasabwe gutanga ho ibitekerezo? [reba ibisabwa byose]
Q44A1_text;my own performance;Ma propre performance;Mi propio desempeño;Utendaji wangu mwenyewe;Imikorere yanjye
Q44A2_text;other employeeâ€™s performance;Performance des autres employés;Desempeño de otro empleado;Utendaji wa mfanyakazi mwingine;Imikorere y'abandi
Q44A3_text;my direct managerâ€™s performance;La performance de mon manager direct;El desempeño de mi gerente directo;Utendaji wa meneja wangu wa moja kwa moja;Imikorere yumuyobozi utaziguye
Q44A4_text;Senior leadershipâ€™s performance;la performance de la haute direction;Desempeño del liderazgo superior;Utendaji wa uongozi mwandamizi;Imikorere y'ubuyobozi bukuru
Q44A5_text;Problems or challenges I have observed and experienced in the organization.;Problèmes ou défis que j'ai observés et rencontrés dans l'organisation;Problemas o desafíos que he observado y vivido en la organización.;Shida au changamoto ambazo nimeona na uzoefu katika shirika;Ibibazo cyangwa ibibazo Nabonye kandi nariboneye mumuryango
Q44A6_text;"Specific challenges related to identity, discrimination, harassment, or how employees are treated.";"Défis spécifiques liés à l'identité, à la discrimination, au harcèlement ou à la manière dont les employés sont traités.";"Desafíos específicos relacionados con la identidad, la discriminación, el acoso o cómo se trata a los empleados.";"Changamoto maalum zinazohusiana na kitambulisho, ubaguzi, unyanyasaji, au jinsi wafanyikazi wanavyotendewa.";"Inzitizi zihariye zijyanye nindangamuntu, ivangura, gutotezwa, cyangwa uburyo abakozi bafatwa."
Q44A7_text;The workplace culture as a whole.;La culture du lieu de travail dans son ensemble.;La cultura laboral en su totalidad.;Utamaduni wa mahali pa kazi kwa ujumla.;Umuco wo mukazi muri rusange
Q44A8_text;none of the above;Aucune de ces réponses;Ninguna de las anteriores;Hakuna hata moja hapo juu;Nta na kimwe hejuru
Q45_text;How have you seen feedback used in the organization? [check all that apply];Comment avez-vous vu les commentaires utilisés dans l'organisation? [Cochez toutes les cases];¿Cómo ha visto el uso de la retroalimentación en la organización? [marque todo lo que corresponda];Je! Umeonaje maoni yakitumika katika shirika? [angalia yote yanayotumika];Nigute wabonye ibitekerezo byakoreshejwe mw’ishyirahamwe? [reba ibisabwa byose]
Q45_free_text_label;(OPTIONAL) Say More....;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q45A1_text;There is often a report of some kind that shares results.;Il existe souvent un rapport quelconque qui partage les résultats.;A menudo hay algún tipo de informe que comparte los resultados.;Mara nyingi kuna ripoti ya aina fulani inayoshiriki matokeo.;Hariho raporo yubwoko bumwe busangira ibisubizo.
Q45A2_text;Leadership meets to discuss the results of feedback and action steps to take.;Mon supérieur direct a utilisé les commentaires pour améliorer sa gestion et son leadership.;El liderazgo se reúne para discutir los resultados de la retroalimentación y los pasos a seguir.;Uongozi hukutana kujadili matokeo ya maoni na hatua za kuchukua.;Ubuyobozi buraterana kugirango baganire ku bisubizo by'ibitekerezo n'intambwe zo gutera mu gihe kije.
Q45A3_text;Results are discussed openly and brainstorming sessions involve employees from all levels and departments.;Les résultats sont discutés ouvertement et des séances de réflexion  impliquent des employés de tous les niveaux et départements;Los resultados se discuten abiertamente y las sesiones de intercambio de ideas involucran a empleados de todos los niveles y departamentos.;Matokeo yanajadiliwa wazi na vikao vya kujadiliana vinahusisha wafanyikazi kutoka ngazi zote na idara.;Ibisubizo byaganiriweho kumugaragaro kandi kungurana ibitekerezo birimo abakozi bo mu nzego zose.
Q45A4_text;"There are clear, transparent actions that happen based on the results to inform behavior change, policies, and procedures organization wide.";"Des actions claires et transparentes se produisent en fonction des résultats pour informer le changement de comportement, les politiques et les procédures à l'échelle de l'organisation.";"Hay acciones claras y transparentes que suceden basadas de los resultados para informar cambios de comportamiento, políticas y procedimientos en toda la organización.";"Kuna vitendo wazi, vya uwazi ambavyo hufanyika kulingana na matokeo ya kuarifu mabadiliko ya tabia, sera, na taratibu za shirika.";"Hano haribikorwa bisobanutse, biboneye bibaho hashingiwe kubisubizo kugirango umenyeshe impinduka zimyitwarire, politiki, nuburyo bukoreshwa mw’ishirahamwe mugari."
Q45A5_text;My direct manager has used feedback to improve their management and leadership.;Mon supérieur direct a utilisé les commentaires pour améliorer sa gestion et son leadership.;Mi gerente directo ha utilizado la retroalimentación para mejorar su administración y liderazgo.;Meneja wangu wa moja kwa moja ametumia maoni kuboresha usimamizi na uongozi wao.;Umuyobozi wanjye utaziguye yakoresheje ibitekerezo kugirango atezimbere imiyoborere nubuyobozi.
Q45A6_text;none of the above.;Aucune de ces réponses;Ninguna de las anteriores;Hakuna jibu hata moja hapo juu.;Nta na kimwe hejuru
Q46_text;OPTIONAL: Describe what your workplace is like for you.;FACULTATIF: Décrivez à quoi ressemble votre lieu de travail pour vous.;OPCIONAL: Describe cómo es su lugar de trabajo para usted.;KWA hiari: Eleza jinsi mahali pa kazi yako ilivyo kwako.;IHitamo: Sobanura aho ukorera uko hameze mu maso yawe.
Q47_text;Please respond to the following questions to submit (remember all answers you've provided will be anonymous).;Veuillez répondre aux questions suivantes à soumettre (rappelez-vous que toutes les réponses que vous avez fournies seront anonymes).;Responda a las siguientes preguntas para enviar (recuerde que todas las respuestas que haya proporcionado serán anónimas).;Tafadhali jibu maswali yafuatayo kuwasilisha (kumbuka majibu yote uliyotoa hayatajulikana).;Nyamuneka subiza ibibazo bikurikira kugirango ubitange (ibuka ibisubizo byose watanze bizaba bitazwi).
Q47A1_text;Years in the Company;Années au sein de l'entreprise:;Años dentro de la empresa:;Miaka ndani ya Kampuni:;Imyaka muri Sosiyete:
Q47A1_options;"less than 1 year, 1-5 years, 5-15 years, 15+ years, -";"Moins que 1, 1-5, 5-10, 10+";"Menos que 1, 1-5, 5-10, 10+";"Chini ya 1, 1-5, 5-10, 10+";"Munsi ya 1, 1-5, 5-10, 10+"
Q47A2_text;Role;Rôle:;Papel:;Wajibu:;Uruhare:
Q47A2_options;"Employee or Team Member, Manager, People Manager, Senior-Level Management & Executive Leadership Team";"Employé / membre de l'équipe, Gestionnaire de personnes, Gestionnaire de niveau intermédiaire, Responsable exécutif / senior";"Empleado / Miembro de equipo, Gerente de personal, Gerente de nivel medio, Gerente ejecutivo / nivel superior";"Mwajiriwa / Mwanachama wa Timu, Meneja wa Watu, Meneja wa Kiwango cha Kati, Meneja mtendaji / ngazi ya mwandamizi";"Umukozi / Umunyamuryango w'itsinda, Umuyobozi, Umuyobozi wo hagati, Umuyobozi / umuyobozi wo mu rwego rwo hejuru"
Q47A3_text;Geographic Location;Position géographique:;Ubicación geográfica:;Mahali pa Kijiografia:;Aho uherereye:
Q47A3_options;"Southern Maine, Central Maine, Vermont, New Hampshire";"Sud de Maine,  Centre du Maine, Vermont, New Hampshire";"sur de maine, Maine central, Vermont, Nueva Hampshire";"Maine Kusini, Maine ya Kati, Vermont, New Hampshire";"Amajyepfo ya Maine, Hagati ya Maine, Vermont, New Hampshire"
Q47A4_text;"Do you identify as ANY of the following: Black, Indigenous, Person of Color (BIPOC), LGBTQIA+, Immigrant/Asylee/Refugee, Speaker of Other Language (SOL)- non-native English speaker, Person with physical or cognitive differences";"Vous identifiez-vous comme AUCUNE des denominations suivantes : noir, autochtone, personne de couleur (BIPOC), LGBTQIA +, immigrant, parlant une autre langue (SOL) - anglophone non natif, personne ayant des différences physiques ou cognitives, moins d'un an d’ enseignement supérieur";"¿Se identifica como ALGUNO de los siguientes: persona de raza negra, persona indígena, persona de color (BIPOC), LGBTQIA +, inmigrante, hablante de otro idioma (SOL) - hablante no nativo de inglés, persona con diferencias físicas o cognitivas, menos de 1 año de universidad / educación superior";"Je! Unagundua kama YOYOTE yafuatayo: Nyeusi, Asili, Mtu wa Rangi (BIPOC), LGBTQIA +, Wahamiaji, Spika wa Lugha Nyingine (SOL) - mzungumzaji wa Kiingereza ambaye sio asili, Mtu aliye na tofauti za mwili au utambuzi, chini ya mwaka 1 wa chuo kikuu / elimu ya juu";"Werekana ko ari BOSE muri ibi bikurikira: Umwirabura, Umusangwabutaka, Umuntu wamabara (BIPOC), LGBTQIA +, Immigrant, Umuvugizi wizindi ndimi (SOL) - utavuga icyongereza kavukire, Umuntu ufite itandukaniro ryumubiri cyangwa ubwenge, munsi yumwaka 1 kaminuza / amashuri makuru"
Q47A4_options;"Yes I am one or more of these, No none of these terms apply to me";"Oui, je m'identifie comme un ou plusieurs de ces nominations, Non, aucune de ces conditions ne s'applique à moi";"Sí, me identifico como uno o más de estos, No, ninguno de estos términos se aplica a mí";"Ndio ninajitambulisha kama moja au zaidi ya haya, Hakuna hata moja ya haya masharti yanayonihusu";"Yego nderekana nkumwe cyangwa benshi muribi, Oya nta na rimwe muri aya magambo rireba"
